feature_order,feature,source_group,feature_flow_stage,dtype,is_numeric,rows_total,count_non_missing,missing_count,missing_pct,n_unique,mode,mode_freq,mode_pct,n_zeros,zero_pct,sum,mean,standard_error,median,std,sample_variance,confidence_level_95,min,p1,p5,q1_25,q2_50,q3_75,p95,p99,max,range,iqr,skewness,kurtosis,outlier_count_iqr,outlier_pct_iqr,target_pearson_corr,target_spearman_corr,target_corr_n_used
17,REGION_POPULATION_RELATIVE,Raw application column from application_train.csv,00 Raw application,float64,True,307511,307511,0,0.0,81,0.035792,16408,5.335744087203385,0.0,0.0,6417.174006999997,0.020868112057780035,2.494204447656505e-05,0.01885,0.013831280122704704,0.00019130430983272626,4.888640717406749e-05,0.00029,0.002134,0.00496,0.010006,0.01885,0.028663,0.04622,0.072508,0.072508,0.072218,0.018657,1.4880085207077653,3.2600653343110464,8412.0,2.735511900387303,-0.03722714854244529,-0.03056202737952563,307511.0
18,DAYS_BIRTH,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,17460,-13749,43,0.013983239623948412,0.0,0.0,-4931552390.0,-16036.995066843137,7.869611314613063,-15750.0,4363.98863178556,19044396.7783536,15.424438176641603,-25229.0,-24419.0,-23204.0,-19682.0,-15750.0,-12413.0,-9407.0,-8263.0,-7489.0,17740.0,7269.0,-0.11567331170166133,-1.0491257699460343,0.0,0.0,0.07823930830982709,0.07832820009254578,307511.0
19,DAYS_EMPLOYED,Raw application column from application_train.csv,00 Raw application,float64,True,307511,252137,55374,18.00716071945394,12573,-200.0,156,0.06187112561821549,2.0,0.000793219559207891,-601137301.0,-2384.1693246132063,4.656859260378319,-1648.0,2338.36016203967,5467928.247414191,9.127444150341503,-17912.0,-11338.279999999999,-7291.0,-3175.0,-1648.0,-767.0,-206.0,-111.0,0.0,17912.0,2408.0,-1.9683155310704772,4.752651548074542,15149.0,6.00824155122017,0.07495845742543839,0.08027110999640191,252137.0
20,DAYS_REGISTRATION,Raw application column from application_train.csv,00 Raw application,float64,True,307511,307511,0,0.0,15688,-1.0,113,0.03674665296525978,80.0,0.026015329532927275,-1533286848.0416665,-4986.120327538418,6.3528456168785175,-4504.0,3522.8863209630713,12410728.030428724,12.451577409081892,-24672.0,-13879.0,-11416.0,-7479.5,-4504.0,-2010.0,-330.0,-50.0,0.0,24672.0,5469.5,-0.5908716157350037,-0.3213466019399345,659.0,0.21430127702748844,0.04197486283141723,0.040170675539008986,307511.0
21,DAYS_ID_PUBLISH,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,6168,-4053,169,0.05495738363830887,16.0,0.005203065906585455,-920750166.0,-2994.2023732484367,2.722002529913402,-3254.0,1509.4504190030232,2278440.567428402,5.335124958630268,-7197.0,-5447.0,-4944.0,-4299.0,-3254.0,-1720.0,-375.0,-61.0,0.0,7197.0,2579.0,0.34932749320299783,-1.1068078939970984,0.0,0.0,0.05145717260705741,0.052534936325128116,307511.0
22,OWN_CAR_AGE,Raw application column from application_train.csv,00 Raw application,float64,True,307511,104582,202929,65.9908100848425,62,7.0,7424,7.098735920139221,2134.0,2.040504102044329,1261373.0,12.061090818687727,0.03693608254529985,9.0,11.944811582242762,142.67852373528083,0.0723947217887877,0.0,0.0,1.0,5.0,9.0,15.0,30.0,64.0,91.0,91.0,10.0,2.7454221308684565,9.214945323055364,4932.0,4.7159166969459365,0.0376115642751656,0.052931644894862455,104582.0
23,FLAG_MOBIL,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,2,1,307510,99.99967480838083,1.0,0.00032519161916159093,307510.0,0.9999967480838083,3.2519161916159095e-06,1.0,0.001803307015351493,3.25191619161591e-06,6.3737557355671825e-06,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-554.5367435977528,307510.99999999994,1.0,0.00032519161916159093,0.0005343955790281198,0.000534395579028217,307511.0
24,FLAG_EMP_PHONE,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,2,1,252125,81.98893698111613,55386.0,18.011063018883878,252125.0,0.8198893698111612,0.000692975178606941,1.0,0.3842801989387643,0.14767127129641627,0.0013582313500696043,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.6648864615712877,0.7718519498767713,55386.0,18.011063018883878,0.045982219716592804,0.04598221971659252,307511.0
25,FLAG_WORK_PHONE,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,2,0,246203,80.06315221244118,246203.0,80.06315221244118,61308.0,0.1993684778755882,0.0007204684500402245,0.0,0.3995262281502265,0.1596212069799468,0.00141211816207884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.5049498942087771,0.26487590674521,61308.0,19.93684778755882,0.028524322363217308,0.028524322363217357,307511.0
26,FLAG_CONT_MOBILE,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,2,1,306937,99.81334001060125,574.0,0.18665998939875322,306937.0,0.9981334001060125,7.783775311693753e-05,1.0,0.04316389414243239,0.0018631217575391088,0.00015256199610919755,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-23.081172345547355,530.7439687146295,574.0,0.18665998939875322,0.00037012680234897825,0.0003701268023489251,307511.0
27,FLAG_PHONE,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,2,0,221080,71.89336316424453,221080.0,71.89336316424453,86431.0,0.28106636835755466,0.0008106235556914318,0.0,0.44952054685675835,0.20206872204639909,0.0015888221691552063,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9740825289977859,-1.0511700633774763,0.0,0.0,-0.023806272330357335,-0.023806272330357384,307511.0
28,FLAG_EMAIL,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,2,0,290069,94.32800777858354,290069.0,94.32800777858354,17442.0,0.0567199222141647,0.000417117607432145,0.0,0.23130703972270758,0.053502946625282224,0.0008175505105670043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.8328531752022883,12.690846001751169,17442.0,5.6719922214164695,-0.001758383431254637,-0.0017583834312544918,307511.0
29,OCCUPATION_TYPE,Raw application column from application_train.csv,00 Raw application,str,False,307511,211120,96391,31.345545362604916,18,Laborers,55186,26.13963622584312,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CNT_FAM_MEMBERS,Raw application column from application_train.csv,00 Raw application,float64,True,307511,307509,2,0.0006503832383231819,17,2.0,158357,51.49670416150421,0.0,0.0,661964.0,2.152665450442101,0.001642243802900229,2.0,0.9106815691792971,0.8293409204428669,0.0032187978536844485,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,20.0,19.0,1.0,0.9875428137192184,2.8019769805254704,4007.0,1.30305129280769,0.009307784396531136,0.007006272724542378,307509.0
31,REGION_RATING_CLIENT,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,3,2,226984,73.81329448377456,0.0,0.0,631155.0,2.0524631639193394,0.0009179444079992656,2.0,0.50903390281568,0.25911551421576307,0.0017991710396785606,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,0.08746834970932345,0.800416437469937,80527.0,26.186705516225434,0.05889901494571265,0.05890922119376535,307511.0
32,REGION_RATING_CLIENT_W_CITY,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,3,2,229484,74.62627353167855,0.0,0.0,624715.0,2.031520823645333,0.0009065892183321967,2.0,0.5027370329147687,0.25274452426394517,0.0017769148679311056,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,0.059729812149467286,0.9335838303405777,78027.0,25.373726468321458,0.06089266756482348,0.06093552966431903,307511.0
33,WEEKDAY_APPR_PROCESS_START,Raw application column from application_train.csv,00 Raw application,str,False,307511,307511,0,0.0,7,TUESDAY,53901,17.528153464428915,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HOUR_APPR_PROCESS_START,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,24,10,37722,12.266878258013534,40.0,0.013007664766463638,3709634.0,12.063418869568894,0.005889298217192301,12.0,3.265832255437871,10.66566032065841,0.011543024505696909,0.0,4.0,7.0,10.0,12.0,14.0,17.0,19.0,23.0,23.0,4.0,-0.02802445946067512,-0.1941728655304189,2257.0,0.7339574844477108,-0.02416583143009439,-0.02291397846684263,307511.0
35,REG_REGION_NOT_LIVE_REGION,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,2,0,302854,98.48558262956448,302854.0,98.48558262956448,4657.0,0.015144173704355291,0.0002202315314397625,0.0,0.12212647628215205,0.014914876209095047,0.00043165380162193446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.940276252906794,61.04838402089024,4657.0,1.514417370435529,0.0055759445209083635,0.00557594452090842,307511.0
36,REG_REGION_NOT_WORK_REGION,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,2,0,291899,94.92310844164923,291899.0,94.92310844164923,15612.0,0.05076891558350758,0.00039587246712040986,0.0,0.21952582879696064,0.04819158950899248,0.0007759100355560033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.092766747503462,14.750835586389943,15612.0,5.076891558350758,0.006941907545371698,0.00694190754537185,307511.0
37,LIVE_REGION_NOT_WORK_REGION,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,2,0,295008,95.93412918562262,295008.0,95.93412918562262,12503.0,0.04065870814377372,0.0003561506448555268,0.0,0.19749861882842365,0.03900570443913498,0.0006980552639168326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.65162016908563,19.63769791769759,12503.0,4.065870814377372,0.002819479184159055,0.002819479184159194,307511.0
38,REG_CITY_NOT_LIVE_CITY,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,2,0,283472,92.18271866697452,283472.0,92.18271866697452,24039.0,0.07817281333025486,0.0004840865379483797,0.0,0.26844377237340455,0.07206205892606422,0.0009488096143788241,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.1427805268221376,7.87712067120265,24039.0,7.817281333025486,0.04439537480570108,0.044395374805700806,307511.0
39,REG_CITY_NOT_WORK_CITY,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,2,0,236644,76.95464552487553,236644.0,76.95464552487553,70867.0,0.23045354475124466,0.000759415567635262,0.0,0.4211238359138973,0.17734528517483508,0.0014884545125651133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.2801375052075334,-0.3612503173148438,70867.0,23.045354475124466,0.050994464368126304,0.05099446436812649,307511.0
40,LIVE_CITY_NOT_WORK_CITY,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,2,0,252296,82.04454474799276,252296.0,82.04454474799276,55215.0,0.17955455252007246,0.0006921391951333107,0.0,0.38381661538559586,0.14731519424605444,0.001356592822461289,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.6697949946488255,0.7882204505656651,55215.0,17.955455252007248,0.032518341101499156,0.03251834110149882,307511.0
41,ORGANIZATION_TYPE,Raw application column from application_train.csv,00 Raw application,str,False,307511,307511,0,0.0,58,Business Entity Type 3,67992,22.110428570034895,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,EXT_SOURCE_1,Raw application column from application_train.csv,00 Raw application,float64,True,307511,134133,173378,56.381072546998325,114584,0.5984686928074158,5,0.0037276434583584954,0.0,0.0,67352.1772221451,0.5021298056566624,0.0005762922019978383,0.5059979305057544,0.21106224927392495,0.044547273068568434,0.0011295327159157632,0.0145681324124455,0.08425667101058731,0.15802123068407123,0.3340072886740926,0.5059979305057544,0.6750525982300696,0.8322601465728647,0.8894105328176929,0.962692770561306,0.9481246381488605,0.341045309555977,-0.06875505870176256,-0.9651552847611131,0.0,0.0,-0.15531712606394815,-0.15112842403618026,134133.0
43,EXT_SOURCE_2,Raw application column from application_train.csv,00 Raw application,float64,True,307511,306851,660,0.21462646864665005,119831,0.2858978721410488,721,0.23496745977689498,0.0,0.0,157841.90644972437,0.5143926741308464,0.0003449104512142933,0.5659614260608526,0.19106015498493653,0.036503982822867966,0.0006760244843800147,8.173616518884397e-08,0.0294766996211982,0.1332991460331683,0.3924574161782719,0.5659614260608526,0.6636170897493769,0.7477341421710526,0.7827928199705348,0.8549996664047012,0.854999584668536,0.27115967357110504,-0.793576044963703,-0.26913082990260406,0.0,0.0,-0.16047167160521023,-0.14733160716209054,306851.0
44,EXT_SOURCE_3,Raw application column from application_train.csv,00 Raw application,float64,True,307511,246546,60965,19.825307062186393,814,0.746300213050371,1460,0.5921815807192167,0.0,0.0,125948.74060704582,0.5108529061799657,0.00039240891794382074,0.5352762504724826,0.1948443644637488,0.03796432636328218,0.0007691214791698886,0.0005272652387098,0.0646719558983517,0.1547436312725944,0.3706496323299817,0.5352762504724826,0.6690566947824041,0.7862666146611379,0.8327850252992314,0.8960095494948396,0.8954822842561297,0.29840706245242243,-0.40939045961602516,-0.6634630539622126,0.0,0.0,-0.1789186976283708,-0.16633025527834042,246546.0
45,APARTMENTS_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,151450,156061,50.74972927797705,2339,0.0825,6663,4.399471772862331,751.0,0.4958732254869594,17786.3636,0.11744049917464511,0.00027813414849870593,0.0876,0.1082402913003223,0.011715960660778627,0.0005451429310574636,0.0,0.0021,0.0082,0.0577,0.0876,0.1485,0.3268,0.5448610000000103,1.0,1.0,0.09079999999999999,2.641835785831277,11.393766789475988,10655.0,7.035325189831627,-0.02949756463343155,-0.0350021882166816,151450.0
46,BASEMENTAREA_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,127568,179943,58.51595552679416,3780,0.0,14745,11.558541326978553,14745.0,11.558541326978553,11282.396999999999,0.08844221905179982,0.00023081148215890615,0.0763,0.0824381587356851,0.006796050015730013,0.00045239050503145605,0.0,0.0,0.0,0.0442,0.0763,0.1122,0.2237,0.38596600000000036,1.0,1.0,0.06799999999999999,3.566306125866456,25.930120272778783,7190.0,5.636209707763702,-0.02274574319014809,-0.023248710055182798,127568.0
47,YEARS_BEGINEXPLUATATION_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,157504,150007,48.781019215572776,285,0.9871,4311,2.737073344169037,514.0,0.3263409183258838,153997.15110000002,0.9777348581623325,0.0001492268304102757,0.9816,0.059223314358362825,0.0035074009635894642,0.0002924845876041404,0.0,0.9488,0.9687,0.9767,0.9816,0.9866,0.996,0.999,1.0,1.0,0.00990000000000002,-15.51526446627384,248.17633676895156,4784.0,3.0373831775700935,-0.009727673268680119,-0.027386834880740535,157504.0
48,YEARS_BUILD_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,103023,204488,66.49778381911543,149,0.8232,2999,2.9110004562088077,102.0,0.09900701785038292,77521.8644,0.7524714325927221,0.0003529277951285117,0.7552,0.11327992663224716,0.0128323417778073,0.0006917384784518828,0.0,0.3472,0.5920000000000001,0.6872,0.7552,0.8232,0.9524,0.9864,1.0,1.0,0.136,-0.9624852035905684,4.399757248829237,2154.0,2.0907952593110277,-0.022149284063388685,-0.02320837593785159,103023.0
49,COMMONAREA_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,92646,214865,69.87229725115525,3181,0.0,8442,9.11210413833301,8442.0,9.11210413833301,4133.9308,0.044620715411350736,0.0002498069225142682,0.0211,0.07603574505040936,0.00578143452537085,0.0004896215681279657,0.0,0.0,0.0,0.0078,0.0211,0.0515,0.1601,0.3765550000000003,1.0,1.0,0.043699999999999996,5.457305396120233,45.988016961984364,7942.0,8.572415430779525,-0.01854966162976034,-0.018900651910887013,92646.0
50,ELEVATORS_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,143620,163891,53.29597965601231,257,0.0,85718,59.68388803787773,85718.0,59.68388803787773,11337.580000000002,0.07894151232418885,0.0003551077560359384,0.0,0.13457600110034418,0.018110700072159834,0.0006960112018304391,0.0,0.0,0.0,0.0,0.0,0.12,0.36,0.6,1.0,1.0,0.12,2.439428668562437,7.869390118750006,10420.0,7.2552569280044565,-0.03419879367526814,-0.03886021818476642,143620.0
51,ENTRANCES_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,152683,154828,50.3487680115508,285,0.1379,34007,22.272944597630385,323.0,0.21154941938526226,22860.4118,0.1497246700680495,0.00025604596372612364,0.1379,0.10004912076035907,0.010009826564920912,0.0005018500889032023,0.0,0.0345,0.0345,0.069,0.1379,0.2069,0.3103,0.5172,1.0,1.0,0.1379,2.3997166974042456,11.593211697239813,3882.0,2.5425227431999633,-0.019172182012738213,-0.024194061125185087,152683.0
52,FLOORSMAX_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,154491,153020,49.76082156410665,403,0.1667,61875,40.05087675010195,2938.0,1.9017289033018105,34958.5181,0.22628190703665588,0.0003679924609805185,0.1667,0.144640699548004,0.02092093196573596,0.0007212652235218162,0.0,0.0,0.0417,0.1667,0.1667,0.3333,0.4792,0.6667,1.0,1.0,0.1666,1.2264535560153553,2.4325451531731037,5215.0,3.3756011677055624,-0.04400337053240212,-0.04617840416990746,154491.0
53,FLOORSMIN_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,98869,208642,67.84862980511267,305,0.2083,32875,33.2510695971437,2320.0,2.3465393601634488,22927.078500000003,0.23189350049054813,0.0005132399069319742,0.2083,0.1613802888001374,0.026043597613215758,0.0010059502175866692,0.0,0.0,0.0417,0.0833,0.2083,0.375,0.5,0.7083,1.0,1.0,0.2917,0.9541972815367735,1.3382558174507482,343.0,0.3469237071276133,-0.03361350325189995,-0.032079401475426164,98869.0
54,LANDAREA_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,124921,182590,59.376737742714894,3527,0.0,15600,12.487892347963914,15600.0,12.487892347963914,8286.4077,0.06633318417239695,0.00022969460641404632,0.0481,0.08118364070179358,0.006590783517597916,0.0004502014285715308,0.0,0.0,0.0,0.0187,0.0481,0.0856,0.1947,0.3746,1.0,1.0,0.06689999999999999,4.45867664075008,34.7447905414457,6888.0,5.513884775177912,-0.010884822678806652,-0.013689701872136058,124921.0
55,LIVINGAPARTMENTS_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,97312,210199,68.35495315614726,1868,0.0504,4272,4.390003288391976,418.0,0.4295462019072674,9806.5949,0.10077477495067412,0.00029676716038514833,0.0756,0.0925761339604974,0.00857034057907196,0.0005816636343548907,0.0,0.0034,0.0101,0.0504,0.0756,0.121,0.2723,0.4539,1.0,1.0,0.0706,3.042198061393282,16.490629995238653,7881.0,8.098692864189411,-0.02503053329106433,-0.031177450044936154,97312.0
56,LIVINGAREA_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,153161,154350,50.193326417591564,5199,0.0,284,0.18542579377256613,284.0,0.18542579377256613,16449.3412,0.10739901933259771,0.00028251512314056394,0.0745,0.11056452318371336,0.01222451378684189,0.0005537296413555054,0.0,0.0022,0.0082,0.0453,0.0745,0.1299,0.3205,0.5509,1.0,1.0,0.08459999999999998,2.85473644632105,12.331174197844899,12517.0,8.172445988208485,-0.03299711746761156,-0.04163110667745673,153161.0
57,NONLIVINGAPARTMENTS_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,93997,213514,69.43296337366793,386,0.0,54549,58.03270317137781,54549.0,58.03270317137781,827.9888,0.008808672617211187,0.00015568600001559426,0.0,0.047731662050347935,0.0022783115620886255,0.00030514456003056476,0.0,0.0,0.0,0.0,0.0,0.0039,0.0309,0.1081,1.0,1.0,0.0039,15.54118547681355,284.73033647426774,15580.0,16.574997074374714,-0.0031761075207261307,-0.006302882073412658,93997.0
58,NONLIVINGAREA_AVG,Raw application column from application_train.csv,00 Raw application,float64,True,307511,137829,169682,55.17916432257708,3290,0.0,58735,42.61439900166148,58735.0,42.61439900166148,3908.5213,0.02835775707579682,0.0001872661779427575,0.0036,0.06952318332123605,0.0048334730191181945,0.0003670417087678047,0.0,0.0,0.0,0.0,0.0036,0.0277,0.1279,0.3165,1.0,1.0,0.0277,6.559011647197609,64.91241640797908,16546.0,12.004730499386921,-0.01357806978198486,-0.013976861753868825,137829.0
59,APARTMENTS_MODE,Raw application column from application_train.csv,00 Raw application,float64,True,307511,151450,156061,50.74972927797705,760,0.084,7522,4.966655661934632,976.0,0.6444371079564213,17300.286,0.11423100693298119,0.00027735234230513023,0.084,0.10793603908753288,0.011650188533905426,0.0005436105909180553,0.0,0.0021,0.0084,0.0525,0.084,0.1439,0.3193,0.541,1.0,1.0,0.09140000000000001,2.7030516535894438,11.746055625451124,10397.0,6.864971937933312,-0.02728387066775315,-0.03302551622863605,151450.0
60,BASEMENTAREA_MODE,Raw application column from application_train.csv,00 Raw application,float64,True,307511,127568,179943,58.51595552679416,3841,0.0,16598,13.01109996237301,16598.0,13.01109996237301,11167.7125,0.0875432122475856,0.00023604437904284966,0.0746,0.08430717486924559,0.007107699734433554,0.0004626469829239853,0.0,0.0,0.0,0.0407,0.0746,0.1124,0.2277,0.3962,1.0,1.0,0.0717,3.481532853157934,24.431186343864308,6910.0,5.416718926376521,-0.01995228392431534,-0.019025424880419313,127568.0
61,YEARS_BEGINEXPLUATATION_MODE,Raw application column from application_train.csv,00 Raw application,float64,True,307511,157504,150007,48.781019215572776,221,0.9871,4291,2.7243752539618042,142.0,0.09015644047135311,153891.7045,0.9770653729429093,0.00016271274078934599,0.9816,0.06457543708048016,0.004169987074135053,0.00031891697194711815,0.0,0.9489,0.9682,0.9767,0.9816,0.9866,0.996,0.999,1.0,1.0,0.00990000000000002,-14.755317839129784,219.9627658043099,5074.0,3.221505485574969,-0.00903644735430115,-0.027137560441867752,157504.0
