rank,feature,n_used,coverage_pct,pearson_corr,spearman_corr,abs_spearman,direction,strength_spearman
25,INST_LATE_PAYMENT_RATE,291643,94.84,0.07001,0.0643,0.0643,tăng rủi ro (corr>0),rất yếu
26,PREV_REFUSED_COUNT,307511,100.0,0.06476,0.0637,0.0637,tăng rủi ro (corr>0),rất yếu
27,REGION_RATING_CLIENT_W_CITY,307511,100.0,0.06089,0.06094,0.06094,tăng rủi ro (corr>0),rất yếu
28,CC_MONTHS_BALANCE_OLDEST,86905,28.26,0.06136,0.05954,0.05954,tăng rủi ro (corr>0),rất yếu
29,INST_TOTAL_PAYMENT_RATIO,291640,94.84,-0.0531,-0.05954,0.05954,giảm rủi ro (corr<0),rất yếu
30,INST_DAYS_LATE_POSITIVE_MEAN,291635,94.84,0.00894,0.05945,0.05945,tăng rủi ro (corr>0),rất yếu
31,REGION_RATING_CLIENT,307511,100.0,0.0589,0.05891,0.05891,tăng rủi ro (corr>0),rất yếu
32,PREV_APPROVAL_RATE,291057,94.65,-0.06352,-0.05849,0.05849,giảm rủi ro (corr<0),rất yếu
33,INST_PAYMENT_RATIO_MEAN,291632,94.84,0.00137,-0.05822,0.05822,giảm rủi ro (corr<0),rất yếu
34,BB_OVERDUE_MONTH_RATE,92231,29.99,0.0589,0.05741,0.05741,tăng rủi ro (corr>0),rất yếu
35,INST_UNDERPAYMENT_RATE,291643,94.84,0.06261,0.0571,0.0571,tăng rủi ro (corr>0),rất yếu
36,POS_MONTHS_BALANCE_OLDEST,289444,94.12,0.05531,0.05546,0.05546,tăng rủi ro (corr>0),rất yếu
37,PREV_DAYS_DECISION_MEAN,291057,94.65,0.04686,0.05519,0.05519,tăng rủi ro (corr>0),rất yếu
38,BUREAU_DEBT_TO_CREDIT_SUM_RATIO,307511,100.0,0.04593,0.05397,0.05397,tăng rủi ro (corr>0),rất yếu
39,BUREAU_AMT_DEBT_MEAN,256131,83.29,-0.00064,0.05382,0.05382,tăng rủi ro (corr>0),rất yếu
40,APP_LAST_PHONE_CHANGE_YEARS,307510,100.0,-0.05522,-0.05371,0.05371,giảm rủi ro (corr<0),rất yếu
41,DAYS_LAST_PHONE_CHANGE,307510,100.0,0.05522,0.05371,0.05371,tăng rủi ro (corr>0),rất yếu
42,PREV_DAYS_DECISION_OLDEST,291057,94.65,0.05343,0.05363,0.05363,tăng rủi ro (corr>0),rất yếu
43,OWN_CAR_AGE,104582,34.01,0.03761,0.05293,0.05293,tăng rủi ro (corr>0),rất yếu
44,APP_ID_PUBLISH_YEARS,307511,100.0,-0.05146,-0.05253,0.05253,giảm rủi ro (corr<0),rất yếu
45,DAYS_ID_PUBLISH,307511,100.0,0.05146,0.05253,0.05253,tăng rủi ro (corr>0),rất yếu
46,BUREAU_CLOSED_COUNT,307511,100.0,-0.03723,-0.05186,0.05186,giảm rủi ro (corr<0),rất yếu
47,INST_DAYS_LATE_POSITIVE_SUM,307511,100.0,0.00693,0.05112,0.05112,tăng rủi ro (corr>0),rất yếu
48,REG_CITY_NOT_WORK_CITY,307511,100.0,0.05099,0.05099,0.05099,tăng rủi ro (corr>0),rất yếu
49,CC_UTILIZATION_GT_1_MONTH_COUNT,307511,100.0,0.02486,0.05051,0.05051,tăng rủi ro (corr>0),rất yếu
50,INST_LATE_PAYMENT_COUNT,307511,100.0,0.03178,0.05026,0.05026,tăng rủi ro (corr>0),rất yếu
51,INST_DAYS_LATE_POSITIVE_MAX,291635,94.84,0.00384,0.05018,0.05018,tăng rủi ro (corr>0),rất yếu
52,INST_UNDERPAYMENT_COUNT,307511,100.0,0.02951,0.04771,0.04771,tăng rủi ro (corr>0),không đáng kể
53,FLOORSMAX_AVG,154491,50.24,-0.044,-0.04618,0.04618,giảm rủi ro (corr<0),không đáng kể
54,BB_MAX_STATUS,92231,29.99,0.03599,0.04612,0.04612,tăng rủi ro (corr>0),không đáng kể
55,FLOORSMAX_MEDI,154491,50.24,-0.04377,-0.04602,0.04602,giảm rủi ro (corr<0),không đáng kể
56,DAYS_EMPLOYED_ANOM_FLAG,307511,100.0,-0.04599,-0.04599,0.04599,giảm rủi ro (corr<0),không đáng kể
57,FLAG_EMP_PHONE,307511,100.0,0.04598,0.04598,0.04598,tăng rủi ro (corr>0),không đáng kể
58,FLOORSMAX_MODE,154491,50.24,-0.04323,-0.04536,0.04536,giảm rủi ro (corr<0),không đáng kể
59,REG_CITY_NOT_LIVE_CITY,307511,100.0,0.0444,0.0444,0.0444,tăng rủi ro (corr>0),không đáng kể
60,FLAG_DOCUMENT_3,307511,100.0,0.04435,0.04435,0.04435,tăng rủi ro (corr>0),không đáng kể
61,INST_PAYMENT_RATIO_MIN,291632,94.84,-0.04565,-0.04258,0.04258,giảm rủi ro (corr<0),không đáng kể
62,LIVINGAREA_AVG,153161,49.81,-0.033,-0.04163,0.04163,giảm rủi ro (corr<0),không đáng kể
63,INST_AMT_PAYMENT_MEAN,291635,94.84,-0.02317,-0.0413,0.0413,giảm rủi ro (corr<0),không đáng kể
64,POS_SK_DPD_DEF_MEAN,289444,94.12,0.0065,0.0413,0.0413,tăng rủi ro (corr>0),không đáng kể
65,POS_DPD_DEF_MONTH_RATE,289444,94.12,0.04705,0.04119,0.04119,tăng rủi ro (corr>0),không đáng kể
66,LIVINGAREA_MEDI,153161,49.81,-0.03274,-0.04114,0.04114,giảm rủi ro (corr<0),không đáng kể
67,DAYS_REGISTRATION,307511,100.0,0.04197,0.04017,0.04017,tăng rủi ro (corr>0),không đáng kể
68,APP_REGISTRATION_YEARS,307511,100.0,-0.04197,-0.04017,0.04017,giảm rủi ro (corr<0),không đáng kể
69,TOTALAREA_MODE,159080,51.73,-0.0326,-0.04007,0.04007,giảm rủi ro (corr<0),không đáng kể
70,POS_SK_DPD_DEF_MAX,289444,94.12,0.00958,0.04,0.04,tăng rủi ro (corr>0),không đáng kể
71,APP_PROPERTY_MISSING_RATIO,307511,100.0,0.03998,0.03965,0.03965,tăng rủi ro (corr>0),không đáng kể
72,APP_PROPERTY_MISSING_COUNT,307511,100.0,0.03998,0.03965,0.03965,tăng rủi ro (corr>0),không đáng kể
73,LIVINGAREA_MODE,153161,49.81,-0.03068,-0.03906,0.03906,giảm rủi ro (corr<0),không đáng kể
74,POS_DPD_DEF_MONTH_COUNT,307511,100.0,0.02642,0.03902,0.03902,tăng rủi ro (corr>0),không đáng kể
75,ELEVATORS_AVG,143620,46.7,-0.0342,-0.03886,0.03886,giảm rủi ro (corr<0),không đáng kể
76,ELEVATORS_MEDI,143620,46.7,-0.03386,-0.03845,0.03845,giảm rủi ro (corr<0),không đáng kể
77,POS_PREV_COUNT,307511,100.0,-0.0332,-0.03701,0.03701,giảm rủi ro (corr<0),không đáng kể
78,ELEVATORS_MODE,143620,46.7,-0.03213,-0.03684,0.03684,giảm rủi ro (corr<0),không đáng kể
79,CC_DRAWINGS_CURRENT_SUM,307511,100.0,0.01792,0.03663,0.03663,tăng rủi ro (corr>0),không đáng kể
80,POS_DPD_MONTH_RATE,289444,94.12,0.03062,0.03612,0.03612,tăng rủi ro (corr>0),không đáng kể
81,BUREAU_AMT_OVERDUE_MAX,263491,85.69,0.01061,0.03607,0.03607,tăng rủi ro (corr>0),không đáng kể
82,PREV_DAYS_FIRST_DRAWING_365243_FLAG_COUNT,307511,100.0,-0.03315,-0.0359,0.0359,giảm rủi ro (corr<0),không đáng kể
83,BUREAU_OVERDUE_RATE,263491,85.69,0.03233,0.03548,0.03548,tăng rủi ro (corr>0),không đáng kể
84,CC_AMT_BALANCE_SUM,307511,100.0,0.0157,0.03527,0.03527,tăng rủi ro (corr>0),không đáng kể
85,POS_SK_DPD_MEAN,289444,94.12,0.00544,0.03525,0.03525,tăng rủi ro (corr>0),không đáng kể
86,APARTMENTS_AVG,151450,49.25,-0.0295,-0.035,0.035,giảm rủi ro (corr<0),không đáng kể
87,BUREAU_CREDIT_DAY_OVERDUE_MEAN,263491,85.69,0.00812,0.03485,0.03485,tăng rủi ro (corr>0),không đáng kể
88,BUREAU_CREDIT_DAY_OVERDUE_MAX,263491,85.69,0.00549,0.03484,0.03484,tăng rủi ro (corr>0),không đáng kể
89,APARTMENTS_MEDI,151450,49.25,-0.02918,-0.03454,0.03454,giảm rủi ro (corr<0),không đáng kể
90,INST_AMT_INSTALMENT_MEAN,291643,94.84,-0.01841,-0.03398,0.03398,giảm rủi ro (corr<0),không đáng kể
91,PREV_AMT_ANNUITY_MEAN,290640,94.51,-0.03487,-0.03357,0.03357,giảm rủi ro (corr<0),không đáng kể
92,POS_SK_DPD_MAX,289444,94.12,0.00476,0.03352,0.03352,tăng rủi ro (corr>0),không đáng kể
93,POS_DPD_MONTH_COUNT,307511,100.0,0.01217,0.03343,0.03343,tăng rủi ro (corr>0),không đáng kể
94,CC_PAYMENT_CURRENT_MEAN,61060,19.86,0.00527,0.03333,0.03333,tăng rủi ro (corr>0),không đáng kể
95,POS_MONTH_COUNT,307511,100.0,-0.02968,-0.03324,0.03324,giảm rủi ro (corr<0),không đáng kể
96,POS_ACTIVE_MONTH_COUNT,307511,100.0,-0.02997,-0.03307,0.03307,giảm rủi ro (corr<0),không đáng kể
97,APARTMENTS_MODE,151450,49.25,-0.02728,-0.03303,0.03303,giảm rủi ro (corr<0),không đáng kể
98,LIVE_CITY_NOT_WORK_CITY,307511,100.0,0.03252,0.03252,0.03252,tăng rủi ro (corr>0),không đáng kể
99,BUREAU_AMT_CREDIT_SUM_MEAN,307511,100.0,-0.02276,-0.03234,0.03234,giảm rủi ro (corr<0),không đáng kể
100,DEF_30_CNT_SOCIAL_CIRCLE,306490,99.67,0.03225,0.0322,0.0322,tăng rủi ro (corr>0),không đáng kể
101,FLOORSMIN_AVG,98869,32.15,-0.03361,-0.03208,0.03208,giảm rủi ro (corr<0),không đáng kể
102,FLOORSMIN_MEDI,98869,32.15,-0.03339,-0.03186,0.03186,giảm rủi ro (corr<0),không đáng kể
103,INST_AMT_PAYMENT_SUM,307511,100.0,-0.02059,-0.03156,0.03156,giảm rủi ro (corr<0),không đáng kể
104,AMT_GOODS_PRICE,307233,99.91,-0.03965,-0.03149,0.03149,giảm rủi ro (corr<0),không đáng kể
105,INST_DAYS_EARLY_POSITIVE_MEAN,291635,94.84,-0.02112,-0.03148,0.03148,giảm rủi ro (corr<0),không đáng kể
106,BUREAU_AMT_CREDIT_SUM_SUM,307511,100.0,-0.01802,-0.03144,0.03144,giảm rủi ro (corr<0),không đáng kể
107,BUREAU_AMT_OVERDUE_SUM,307511,100.0,0.01194,0.03136,0.03136,tăng rủi ro (corr>0),không đáng kể
108,LIVINGAPARTMENTS_AVG,97312,31.65,-0.02503,-0.03118,0.03118,giảm rủi ro (corr<0),không đáng kể
109,DEF_60_CNT_SOCIAL_CIRCLE,306490,99.67,0.03128,0.03091,0.03091,tăng rủi ro (corr>0),không đáng kể
110,FLOORSMIN_MODE,98869,32.15,-0.0327,-0.03082,0.03082,giảm rủi ro (corr<0),không đáng kể
111,BUREAU_OVERDUE_LOAN_COUNT,307511,100.0,0.03746,0.03081,0.03081,tăng rủi ro (corr>0),không đáng kể
112,LIVINGAPARTMENTS_MEDI,97312,31.65,-0.02462,-0.0308,0.0308,giảm rủi ro (corr<0),không đáng kể
113,HAS_BUREAU_HISTORY,307511,100.0,-0.03079,-0.03079,0.03079,giảm rủi ro (corr<0),không đáng kể
114,POS_COMPLETED_MONTH_COUNT,307511,100.0,-0.01663,-0.03073,0.03073,giảm rủi ro (corr<0),không đáng kể
115,REGION_POPULATION_RELATIVE,307511,100.0,-0.03723,-0.03056,0.03056,giảm rủi ro (corr<0),không đáng kể
116,CC_PAYMENT_CURRENT_SUM,307511,100.0,0.0042,0.03039,0.03039,tăng rủi ro (corr>0),không đáng kể
117,PREV_ZERO_CREDIT_COUNT,307511,100.0,0.0329,0.03001,0.03001,tăng rủi ro (corr>0),không đáng kể
118,LIVINGAPARTMENTS_MODE,97312,31.65,-0.02339,-0.02921,0.02921,giảm rủi ro (corr<0),không đáng kể
119,BUREAU_AMT_CREDIT_SUM_MAX,307511,100.0,-0.023,-0.02862,0.02862,giảm rủi ro (corr<0),không đáng kể
120,FLAG_DOCUMENT_6,307511,100.0,-0.0286,-0.0286,0.0286,giảm rủi ro (corr<0),không đáng kể
121,FLAG_WORK_PHONE,307511,100.0,0.02852,0.02852,0.02852,tăng rủi ro (corr>0),không đáng kể
122,BUREAU_ACTIVE_COUNT,307511,100.0,0.04357,0.02838,0.02838,tăng rủi ro (corr>0),không đáng kể
123,CC_ZERO_LIMIT_MONTH_RATE,86905,28.26,-0.02183,-0.02754,0.02754,giảm rủi ro (corr<0),không đáng kể
124,YEARS_BEGINEXPLUATATION_MEDI,157504,51.22,-0.00999,-0.02754,0.02754,giảm rủi ro (corr<0),không đáng kể
125,YEARS_BEGINEXPLUATATION_AVG,157504,51.22,-0.00973,-0.02739,0.02739,giảm rủi ro (corr<0),không đáng kể
126,PREV_AMT_APPLICATION_MEAN,291057,94.65,-0.0218,-0.02729,0.02729,giảm rủi ro (corr<0),không đáng kể
127,YEARS_BEGINEXPLUATATION_MODE,157504,51.22,-0.00904,-0.02714,0.02714,giảm rủi ro (corr<0),không đáng kể
128,INST_PREV_COUNT,307511,100.0,-0.02497,-0.02705,0.02705,giảm rủi ro (corr<0),không đáng kể
129,BUREAU_AMT_DEBT_SUM,307511,100.0,0.00189,0.02698,0.02698,tăng rủi ro (corr>0),không đáng kể
130,INST_AMT_INSTALMENT_SUM,307511,100.0,-0.01607,-0.0267,0.0267,giảm rủi ro (corr<0),không đáng kể
131,PREV_ZERO_APPLICATION_COUNT,307511,100.0,0.03163,0.02573,0.02573,tăng rủi ro (corr>0),không đáng kể
132,PREV_APPROVED_COUNT,307511,100.0,-0.02352,-0.02422,0.02422,giảm rủi ro (corr<0),không đáng kể
133,ENTRANCES_AVG,152683,49.65,-0.01917,-0.02419,0.02419,giảm rủi ro (corr<0),không đáng kể
134,ENTRANCES_MEDI,152683,49.65,-0.01902,-0.02403,0.02403,giảm rủi ro (corr<0),không đáng kể
135,APP_PROPERTY_ANY_MISSING_FLAG,307511,100.0,0.02384,0.02384,0.02384,tăng rủi ro (corr>0),không đáng kể
136,FLAG_PHONE,307511,100.0,-0.02381,-0.02381,0.02381,giảm rủi ro (corr<0),không đáng kể
137,BB_OVERDUE_MONTH_COUNT,307511,100.0,0.01367,0.02355,0.02355,tăng rủi ro (corr>0),không đáng kể
138,CC_MONTHS_BALANCE_RECENT,86905,28.26,0.02525,0.02345,0.02345,tăng rủi ro (corr>0),không đáng kể
139,YEARS_BUILD_MEDI,103023,33.5,-0.02233,-0.02336,0.02336,giảm rủi ro (corr<0),không đáng kể
140,BASEMENTAREA_AVG,127568,41.48,-0.02275,-0.02325,0.02325,giảm rủi ro (corr<0),không đáng kể
141,PREV_DAYS_DECISION_RECENT,291057,94.65,0.0164,0.02322,0.02322,tăng rủi ro (corr>0),không đáng kể
142,YEARS_BUILD_AVG,103023,33.5,-0.02215,-0.02321,0.02321,giảm rủi ro (corr<0),không đáng kể
143,YEARS_BUILD_MODE,103023,33.5,-0.02207,-0.02308,0.02308,giảm rủi ro (corr<0),không đáng kể
144,HOUR_APPR_PROCESS_START,307511,100.0,-0.02417,-0.02291,0.02291,giảm rủi ro (corr<0),không đáng kể
145,BASEMENTAREA_MEDI,127568,41.48,-0.02208,-0.02269,0.02269,giảm rủi ro (corr<0),không đáng kể
146,BUREAU_LOAN_COUNT,307511,100.0,-0.01002,-0.02204,0.02204,giảm rủi ro (corr<0),không đáng kể
147,INST_PAYMENT_MISSING_COUNT,307511,100.0,0.01722,0.02189,0.02189,tăng rủi ro (corr>0),không đáng kể
148,APP_OWN_CAR_AGE_MISSING_FLAG,307511,100.0,0.02184,0.02184,0.02184,tăng rủi ro (corr>0),không đáng kể
149,ENTRANCES_MODE,152683,49.65,-0.01739,-0.02163,0.02163,giảm rủi ro (corr<0),không đáng kể
150,PREV_DAYS_LAST_DUE_1ST_VERSION_365243_FLAG_COUNT,307511,100.0,0.02122,0.02108,0.02108,tăng rủi ro (corr>0),không đáng kể
151,APP_CHILDREN_RATIO,307509,100.0,0.02122,0.02094,0.02094,tăng rủi ro (corr>0),không đáng kể
152,PREV_AMT_CREDIT_MEAN,291057,94.65,-0.01611,-0.02034,0.02034,giảm rủi ro (corr<0),không đáng kể
153,CNT_CHILDREN,307511,100.0,0.01919,0.02007,0.02007,tăng rủi ro (corr>0),không đáng kể
154,POS_CNT_INSTALMENT_FUTURE_MEAN,289420,94.12,0.02783,0.01986,0.01986,tăng rủi ro (corr>0),không đáng kể
155,AMT_REQ_CREDIT_BUREAU_YEAR,265992,86.5,0.01993,0.01946,0.01946,tăng rủi ro (corr>0),không đáng kể
156,BASEMENTAREA_MODE,127568,41.48,-0.01995,-0.01903,0.01903,giảm rủi ro (corr<0),không đáng kể
157,COMMONAREA_AVG,92646,30.13,-0.01855,-0.0189,0.0189,giảm rủi ro (corr<0),không đáng kể
158,POS_CNT_INSTALMENT_FUTURE_MIN,289420,94.12,0.01901,0.01888,0.01888,tăng rủi ro (corr>0),không đáng kể
159,BUREAU_ENDDATE_FUTURE_COUNT,307511,100.0,0.03246,0.01877,0.01877,tăng rủi ro (corr>0),không đáng kể
160,COMMONAREA_MEDI,92646,30.13,-0.01857,-0.01852,0.01852,giảm rủi ro (corr<0),không đáng kể
161,HAS_PREVIOUS_APPLICATION,307511,100.0,0.01848,0.01848,0.01848,tăng rủi ro (corr>0),không đáng kể
162,APP_ANNUITY_INCOME_RATIO,307499,100.0,0.01427,0.01843,0.01843,tăng rủi ro (corr>0),không đáng kể
163,PREV_CANCELED_COUNT,307511,100.0,0.02076,0.01841,0.01841,tăng rủi ro (corr>0),không đáng kể
164,AMT_INCOME_TOTAL,307511,100.0,-0.00398,-0.0181,0.0181,giảm rủi ro (corr<0),không đáng kể
165,PREV_DAYS_FIRST_DUE_365243_FLAG_COUNT,307511,100.0,-0.01743,-0.01809,0.01809,giảm rủi ro (corr<0),không đáng kể
166,HAS_INSTALLMENT_HISTORY,307511,100.0,0.01792,0.01792,0.01792,tăng rủi ro (corr>0),không đáng kể
167,AMT_CREDIT,307511,100.0,-0.03037,-0.01754,0.01754,giảm rủi ro (corr<0),không đáng kể
168,BB_BAD_STATUS_MONTH_RATE,92231,29.99,0.01897,0.0166,0.0166,tăng rủi ro (corr>0),không đáng kể
169,APP_INCOME_PER_PERSON,307509,100.0,-0.00657,-0.01659,0.01659,giảm rủi ro (corr<0),không đáng kể
170,PREV_APP_COUNT,307511,100.0,0.02351,0.01631,0.01631,tăng rủi ro (corr>0),không đáng kể
171,COMMONAREA_MODE,92646,30.13,-0.01634,-0.01613,0.01613,giảm rủi ro (corr<0),không đáng kể
172,PREV_AMT_APPLICATION_MAX,291057,94.65,-0.01261,-0.01599,0.01599,giảm rủi ro (corr<0),không đáng kể
173,POS_CNT_INSTALMENT_MEAN,289420,94.12,0.01807,0.01549,0.01549,tăng rủi ro (corr>0),không đáng kể
174,NONLIVINGAREA_AVG,137829,44.82,-0.01358,-0.01398,0.01398,giảm rủi ro (corr<0),không đáng kể
175,CC_PREV_COUNT,307511,100.0,0.0139,0.0138,0.0138,tăng rủi ro (corr>0),không đáng kể
176,HAS_CREDIT_CARD_HISTORY,307511,100.0,0.01374,0.01374,0.01374,tăng rủi ro (corr>0),không đáng kể
177,LANDAREA_AVG,124921,40.62,-0.01088,-0.01369,0.01369,giảm rủi ro (corr<0),không đáng kể
178,INST_PAYMENT_COUNT,307511,100.0,-0.01631,-0.01348,0.01348,giảm rủi ro (corr<0),không đáng kể
179,LANDAREA_MEDI,124921,40.62,-0.01126,-0.01339,0.01339,giảm rủi ro (corr<0),không đáng kể
180,PREV_CANCELED_RATE,291057,94.65,0.0122,0.01338,0.01338,tăng rủi ro (corr>0),không đáng kể
181,NONLIVINGAREA_MEDI,137829,44.82,-0.01334,-0.01315,0.01315,giảm rủi ro (corr<0),không đáng kể
182,HAS_POS_CASH_HISTORY,307511,100.0,0.01292,0.01292,0.01292,tăng rủi ro (corr>0),không đáng kể
183,NONLIVINGAREA_MODE,137829,44.82,-0.01271,-0.01251,0.01251,giảm rủi ro (corr<0),không đáng kể
184,CC_SK_DPD_DEF_MAX,86905,28.26,0.00709,-0.01241,0.01241,giảm rủi ro (corr<0),không đáng kể
185,POS_MONTHS_BALANCE_RECENT,289444,94.12,-0.00432,-0.01178,0.01178,giảm rủi ro (corr<0),không đáng kể
186,CC_SK_DPD_DEF_MEAN,86905,28.26,0.00666,-0.01166,0.01166,giảm rủi ro (corr<0),không đáng kể
187,FLAG_DOCUMENT_16,307511,100.0,-0.01161,-0.01161,0.01161,giảm rủi ro (corr<0),không đáng kể
188,LANDAREA_MODE,124921,40.62,-0.01017,-0.0116,0.0116,giảm rủi ro (corr<0),không đáng kể
189,FLAG_DOCUMENT_13,307511,100.0,-0.01158,-0.01158,0.01158,giảm rủi ro (corr<0),không đáng kể
190,PREV_DAYS_LAST_DUE_365243_FLAG_COUNT,307511,100.0,0.01199,0.0113,0.0113,tăng rủi ro (corr>0),không đáng kể
191,PREV_AMT_CREDIT_MAX,291057,94.65,-0.00844,-0.01053,0.01053,giảm rủi ro (corr<0),không đáng kể
192,POS_DEMAND_MONTH_COUNT,307511,100.0,0.00372,0.01043,0.01043,tăng rủi ro (corr>0),không đáng kể
193,PREV_DAYS_TERMINATION_365243_FLAG_COUNT,307511,100.0,0.0106,0.00993,0.00993,tăng rủi ro (corr>0),không đáng kể
194,FLAG_DOCUMENT_14,307511,100.0,-0.00946,-0.00946,0.00946,giảm rủi ro (corr<0),không đáng kể
195,OBS_30_CNT_SOCIAL_CIRCLE,306490,99.67,0.00913,0.00937,0.00937,tăng rủi ro (corr>0),không đáng kể
196,OBS_60_CNT_SOCIAL_CIRCLE,306490,99.67,0.00902,0.00922,0.00922,tăng rủi ro (corr>0),không đáng kể
197,BB_BAD_STATUS_MONTH_COUNT,307511,100.0,0.00569,0.00919,0.00919,tăng rủi ro (corr>0),không đáng kể
198,AMT_REQ_CREDIT_BUREAU_QRT,265992,86.5,-0.00202,-0.00847,0.00847,giảm rủi ro (corr<0),không đáng kể
199,CC_COMPLETED_MONTH_COUNT,307511,100.0,-0.00804,-0.00844,0.00844,giảm rủi ro (corr<0),không đáng kể
200,CC_ZERO_LIMIT_MONTH_COUNT,307511,100.0,-0.0123,-0.00839,0.00839,giảm rủi ro (corr<0),không đáng kể
201,FLAG_DOCUMENT_8,307511,100.0,-0.00804,-0.00804,0.00804,giảm rủi ro (corr<0),không đáng kể
202,FLAG_DOCUMENT_18,307511,100.0,-0.00795,-0.00795,0.00795,giảm rủi ro (corr<0),không đáng kể
203,CC_ACTIVE_MONTH_COUNT,307511,100.0,-0.01453,0.00782,0.00782,tăng rủi ro (corr>0),không đáng kể
204,CC_MONTH_COUNT,307511,100.0,-0.0149,0.00752,0.00752,tăng rủi ro (corr>0),không đáng kể
205,CNT_FAM_MEMBERS,307509,100.0,0.00931,0.00701,0.00701,tăng rủi ro (corr>0),không đáng kể
206,REG_REGION_NOT_WORK_REGION,307511,100.0,0.00694,0.00694,0.00694,tăng rủi ro (corr>0),không đáng kể
207,AMT_REQ_CREDIT_BUREAU_MON,265992,86.5,-0.01246,-0.0069,0.0069,giảm rủi ro (corr<0),không đáng kể
208,FLAG_DOCUMENT_15,307511,100.0,-0.00654,-0.00654,0.00654,giảm rủi ro (corr<0),không đáng kể
209,NONLIVINGAPARTMENTS_AVG,93997,30.57,-0.00318,-0.0063,0.0063,giảm rủi ro (corr<0),không đáng kể
210,CC_CREDIT_LIMIT_MAX,86905,28.26,-0.01168,-0.00612,0.00612,giảm rủi ro (corr<0),không đáng kể
211,POS_CNT_INSTALMENT_MAX,289420,94.12,0.0133,0.00605,0.00605,tăng rủi ro (corr>0),không đáng kể
212,REG_REGION_NOT_LIVE_REGION,307511,100.0,0.00558,0.00558,0.00558,tăng rủi ro (corr>0),không đáng kể
213,CC_DPD_MONTH_RATE,86905,28.26,0.00175,-0.00549,0.00549,giảm rủi ro (corr<0),không đáng kể
214,FLAG_DOCUMENT_2,307511,100.0,0.00542,0.00542,0.00542,tăng rủi ro (corr>0),không đáng kể
215,POS_FUTURE_GT_TOTAL_COUNT,307511,100.0,-0.00411,-0.00521,0.00521,giảm rủi ro (corr<0),không đáng kể
216,NONLIVINGAPARTMENTS_MEDI,93997,30.57,-0.00276,-0.00505,0.00505,giảm rủi ro (corr<0),không đáng kể
217,CC_SK_DPD_MAX,86905,28.26,-0.00598,-0.00498,0.00498,giảm rủi ro (corr<0),không đáng kể
