feature,EXT_SOURCE_3,EXT_SOURCE_1,EXT_SOURCE_2,BUREAU_DEBT_CREDIT_RATIO_MAX,BUREAU_DEBT_CREDIT_RATIO_MEAN,DAYS_EMPLOYED,APP_EMPLOYED_YEARS,DAYS_BIRTH,APP_AGE_YEARS,BUREAU_ACTIVE_RATE,BUREAU_DAYS_CREDIT_RECENT,BUREAU_DAYS_CREDIT_OLDEST,PREV_CREDIT_APPLICATION_RATIO_MEAN,PREV_REFUSAL_RATE,APP_GOODS_CREDIT_RATIO,INST_LATE_PAYMENT_RATE,PREV_REFUSED_COUNT,REGION_RATING_CLIENT_W_CITY,INST_TOTAL_PAYMENT_RATIO,INST_DAYS_LATE_POSITIVE_MEAN,REGION_RATING_CLIENT,PREV_APPROVAL_RATE,INST_PAYMENT_RATIO_MEAN,INST_UNDERPAYMENT_RATE,POS_MONTHS_BALANCE_OLDEST,TARGET
APP_GOODS_CREDIT_RATIO,0.023,0.0483,0.0595,-0.0331,-0.0407,-0.0102,0.0102,0.0298,-0.0298,-0.0303,-0.0062,-0.0044,-0.0971,-0.0219,1.0,-0.0346,-0.0267,-0.0247,0.0307,-0.0389,-0.0282,0.0293,0.0297,-0.0279,0.0129,-0.0668
INST_LATE_PAYMENT_RATE,-0.1112,-0.0233,-0.0357,0.0532,0.0326,-0.0231,0.0231,0.0073,-0.0073,0.0148,-0.002,-0.0515,0.0853,0.1218,-0.0346,1.0,0.1347,0.0014,-0.6592,0.9594,0.0,-0.0531,-0.6701,0.8284,-0.2925,0.0643
PREV_REFUSED_COUNT,-0.1893,-0.0328,-0.038,0.1238,0.0692,-0.0058,0.0058,-0.0033,0.0033,0.0236,0.0922,-0.0389,0.1631,0.9767,-0.0267,0.1347,1.0,0.0106,-0.0629,0.1426,0.0115,-0.6904,-0.0645,0.1398,-0.1481,0.0637
REGION_RATING_CLIENT_W_CITY,-0.0138,-0.1138,-0.3171,0.0307,0.0172,-0.0086,0.0086,0.0092,-0.0092,-0.0167,0.0522,-0.0057,0.0575,0.0023,-0.0247,0.0014,0.0106,1.0,-0.0015,-0.0007,0.95,0.005,-0.0006,-0.0089,0.0207,0.0609
INST_TOTAL_PAYMENT_RATIO,0.09,0.0527,0.0404,-0.0476,-0.0398,0.0011,-0.0011,-0.0362,0.0362,-0.03,-0.0029,0.017,-0.0272,-0.0653,0.0307,-0.6592,-0.0629,-0.0015,1.0,-0.6604,0.0003,-0.0177,0.9616,-0.7854,0.1724,-0.0595
INST_DAYS_LATE_POSITIVE_MEAN,-0.0976,-0.0181,-0.0349,0.0471,0.0235,-0.0317,0.0317,-0.0093,0.0093,0.0061,-0.0048,-0.0639,0.0714,0.1275,-0.0389,0.9594,0.1426,-0.0007,-0.6604,1.0,-0.0019,-0.0543,-0.6736,0.8401,-0.3397,0.0594
REGION_RATING_CLIENT,-0.0152,-0.1132,-0.3227,0.0315,0.0205,-0.0106,0.0106,0.0104,-0.0104,-0.0125,0.0507,-0.0032,0.0562,0.0029,-0.0282,0.0,0.0115,0.95,0.0003,-0.0019,1.0,0.0062,0.0012,-0.0099,0.0233,0.0589
PREV_APPROVAL_RATE,0.1868,0.0248,0.0206,-0.086,-0.048,-0.0252,0.0252,0.0131,-0.0131,-0.016,-0.0794,0.0052,-0.1889,-0.6885,0.0293,-0.0531,-0.6904,0.005,-0.0177,-0.0543,0.0062,1.0,-0.0138,-0.0566,0.0323,-0.0585
INST_PAYMENT_RATIO_MEAN,0.091,0.0527,0.0393,-0.0476,-0.038,0.0014,-0.0014,-0.0379,0.0379,-0.028,-0.0049,0.0194,-0.0286,-0.0662,0.0297,-0.6701,-0.0645,-0.0006,0.9616,-0.6736,0.0012,-0.0138,1.0,-0.7992,0.1785,-0.0582
INST_UNDERPAYMENT_RATE,-0.1065,-0.0221,-0.0296,0.0487,0.0294,-0.017,0.017,0.0075,-0.0075,0.0133,0.0009,-0.0406,0.0915,0.1216,-0.0279,0.8284,0.1398,-0.0089,-0.7854,0.8401,-0.0099,-0.0566,-0.7992,1.0,-0.247,0.0571
POS_MONTHS_BALANCE_OLDEST,-0.1121,-0.1122,-0.0557,0.0121,0.0876,0.1726,-0.1726,0.1244,-0.1244,0.1141,0.0462,0.2582,0.1089,-0.1159,0.0129,-0.2925,-0.1481,0.0207,0.1724,-0.3397,0.0233,0.0323,0.1785,-0.247,1.0,0.0555
TARGET,-0.1663,-0.1511,-0.1473,0.1038,0.1019,0.0803,-0.0803,0.0783,-0.0783,0.0781,0.0743,0.0725,0.0693,0.0675,-0.0668,0.0643,0.0637,0.0609,-0.0595,0.0594,0.0589,-0.0585,-0.0582,0.0571,0.0555,1.0
