feature,category,customers,defaults,default_rate_pct,reliable
ORGANIZATION_TYPE,Culture,379,21.0,5.541,True
ORGANIZATION_TYPE,XNA,55374,2990.0,5.4,True
ORGANIZATION_TYPE,Bank,2507,130.0,5.185,True
ORGANIZATION_TYPE,Military,2634,135.0,5.125,True
ORGANIZATION_TYPE,Police,2341,117.0,4.998,True
ORGANIZATION_TYPE,University,1327,65.0,4.898,True
ORGANIZATION_TYPE,Security Ministries,1974,96.0,4.863,True
ORGANIZATION_TYPE,Trade: type 6,631,29.0,4.596,True
ORGANIZATION_TYPE,Transport: type 1,201,9.0,4.478,True
ORGANIZATION_TYPE,Industry: type 12,369,14.0,3.794,True
ORGANIZATION_TYPE,Trade: type 4,64,2.0,3.125,False
WALLSMATERIAL_MODE,Wooden,5362,520.0,9.698,True
WALLSMATERIAL_MODE,Missing,156341,14271.0,9.128,True
WALLSMATERIAL_MODE,Others,1625,135.0,8.308,True
WALLSMATERIAL_MODE,Mixed,2296,173.0,7.535,True
WALLSMATERIAL_MODE,"Stone, brick",64815,4800.0,7.406,True
WALLSMATERIAL_MODE,Block,9253,650.0,7.025,True
WALLSMATERIAL_MODE,Panel,66040,4192.0,6.348,True
WALLSMATERIAL_MODE,Monolithic,1779,84.0,4.722,True
WEEKDAY_APPR_PROCESS_START,TUESDAY,53901,4501.0,8.35,True
WEEKDAY_APPR_PROCESS_START,WEDNESDAY,51934,4238.0,8.16,True
WEEKDAY_APPR_PROCESS_START,FRIDAY,50338,4101.0,8.147,True
WEEKDAY_APPR_PROCESS_START,THURSDAY,50591,4098.0,8.1,True
WEEKDAY_APPR_PROCESS_START,SUNDAY,16181,1283.0,7.929,True
WEEKDAY_APPR_PROCESS_START,SATURDAY,33852,2670.0,7.887,True
WEEKDAY_APPR_PROCESS_START,MONDAY,50714,3934.0,7.757,True
