source_variable,encoded_feature,vif,tolerance,vif_risk_level,n_rows_used,note
DIAG_NAME_INCOME_TYPE,DIAG_NAME_INCOME_TYPE_Working,1.592941136053065,0.6277695875679159,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_CC_UTILIZATION_GROUP,DIAG_CC_UTILIZATION_GROUP_70%-100%,1.5396985338711284,0.6494777893213862,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_BUREAU_DEBT_CREDIT_GROUP,DIAG_BUREAU_DEBT_CREDIT_GROUP_No bureau history,1.534035851592434,0.6518752472192431,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_ANNUITY_INCOME_GROUP,DIAG_ANNUITY_INCOME_GROUP_5. 40-60%,1.4686826078525994,0.6808823054438746,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_LATE_PAYMENT_GROUP,DIAG_LATE_PAYMENT_GROUP_Late >30%,1.2354376594113237,0.8094297534013105,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_NAME_INCOME_TYPE,DIAG_NAME_INCOME_TYPE_State servant,1.2224983421855025,0.8179970192943292,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_NAME_CONTRACT_TYPE,DIAG_NAME_CONTRACT_TYPE_Revolving loans,1.174437977360084,0.8514711030103201,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_PREVIOUS_REFUSAL_GROUP,DIAG_PREVIOUS_REFUSAL_GROUP_<=25% refusal,1.1143013133612893,0.8974233342537311,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_PREVIOUS_REFUSAL_GROUP,DIAG_PREVIOUS_REFUSAL_GROUP_25%-50% refusal,1.0794477278972239,0.9263996524852677,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_ANNUITY_INCOME_GROUP,DIAG_ANNUITY_INCOME_GROUP_6. 60%+,1.073797217661362,0.9312745307516386,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_CC_UTILIZATION_GROUP,DIAG_CC_UTILIZATION_GROUP_>100%,1.0411716147091497,0.960456456815094,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_CC_UTILIZATION_GROUP,DIAG_CC_UTILIZATION_GROUP_Unknown,1.0356238970600622,0.9656015111652101,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_PREVIOUS_REFUSAL_GROUP,DIAG_PREVIOUS_REFUSAL_GROUP_>50% refusal,1.0322012422296172,0.9688033293197162,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_BUREAU_DEBT_CREDIT_GROUP,DIAG_BUREAU_DEBT_CREDIT_GROUP_>100%,1.0240625811628126,0.9765028215995455,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_NAME_INCOME_TYPE,DIAG_NAME_INCOME_TYPE_Other rare,1.0030148167761392,0.9969942450243862,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
DIAG_ANNUITY_INCOME_GROUP,DIAG_ANNUITY_INCOME_GROUP_Other rare,1.0004929618933416,0.9995072809983504,Low,307511,VIF is calculated on one-hot encoded controlled-core research features with drop_first=True.
