feature,count,missing,missing_pct,n_unique,n_zeros,zero_pct,mean,standard_error_excel,std,mode_excel,sample_variance_excel,min,p1,p5,q1,p25,q2_median,p50,q3,p75,p95,p99,max,range,iqr,sum_excel,confidence_level_95_excel,skewness,kurtosis,outlier_count_iqr,outlier_pct_iqr,distribution_shape,cv,q1_25,median_50,q3_75,mean_excel,median_excel,std_excel,minimum_excel,maximum_excel,range_excel,skewness_excel,kurtosis_excel,count_excel
PREV_ZERO_APPLICATION_COUNT,307511,0,0.0,42,170727,55.519,1.0578548409650386,,1.842122997891113,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,59.0,59.0,1.0,,,3.9093,38.2138,43044,13.998,lệch phải mạnh,1.7414,0.0,0.0,1.0,,,,,,,,,
PREV_UNUSED_OFFER_COUNT,307511,0,0.0,11,288478,93.811,0.0740493835992858,,0.3181338338544347,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,,,6.0502,68.9476,19033,6.189,lệch phải mạnh,4.2962,0.0,0.0,0.0,,,,,,,,,
PREV_REFUSED_COUNT,307511,0,0.0,46,207217,67.385,0.7979877142606281,0.0033621457793483,1.7748434435527698,0.0,3.2901153836845336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,68.0,68.0,1.0,245390.0,0.0065898057275228,4.9973,53.0644,31021,10.088,lệch phải mạnh,2.2241,0.0,0.0,1.0,0.8430994616174838,0.0,1.8138675209850728,0.0,68.0,68.0,4.876493429736634,50.80761374044639,291057.0
PREV_CANCELED_COUNT,307511,0,0.0,39,196785,63.993,0.8436803886690232,,1.6422874640204188,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,7.0,58.0,58.0,1.0,,,3.9142,37.0951,34591,11.249,lệch phải mạnh,1.9466,0.0,0.0,1.0,,,,,,,,,
PREV_APP_COUNT,307511,0,0.0,66,16454,5.351,4.597237172003603,,4.18001497155669,,,0.0,0.0,0.0,2.0,2.0,3.0,3.0,6.0,6.0,13.0,20.0,73.0,73.0,4.0,,,2.2399,9.9879,15426,5.016,lệch phải mạnh,0.9092,2.0,3.0,6.0,,,,,,,,,
PREV_APPROVED_COUNT,307511,0,0.0,26,17446,5.673,2.881519685474666,0.0039380899860056,2.177554286177138,1.0,4.513872834228574,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,7.0,10.0,27.0,27.0,3.0,886099.0,0.007718656372571,1.471,3.5071,7052,2.293,lệch phải mạnh,0.7557,1.0,2.0,4.0,3.044417416519788,3.0,2.124587685700116,0.0,27.0,27.0,1.5839093971847438,3.8741950286459295,291057.0
BUREAU_OVERDUE_LOAN_COUNT,307511,0,0.0,8,303917,98.831,0.0127410076387511,,0.1251460820112791,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,,,13.3319,294.19,3594,1.169,lệch phải mạnh,9.8223,0.0,0.0,0.0,,,,,,,,,
BUREAU_CLOSED_COUNT,307511,0,0.0,54,77346,25.152,2.9843908022802434,0.0065878457947942,3.3595287181673896,1.0,11.435433571502964,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,10.0,15.0,108.0,108.0,4.0,917733.0,0.0129121777577967,2.1864,11.9908,11374,3.699,lệch phải mạnh,1.1257,0.0,2.0,4.0,3.4829766481587607,3.0,3.3816317912367344,0.0,108.0,108.0,2.1712884396070087,12.529579720499784,263491.0
BUREAU_ACTIVE_COUNT,307511,0,0.0,23,90361,29.385,1.762275170644302,0.0034829261458532,1.804891299543025,1.0,3.196349913652103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,8.0,32.0,32.0,3.0,541919.0,0.0068265352458724,1.4482,3.3824,3298,1.072,lệch phải mạnh,1.0242,0.0,1.0,3.0,2.0566888432621986,2.0,1.7878338607521962,0.0,32.0,32.0,1.4005041745885465,3.4933302102996318,263491.0
BUREAU_LOAN_COUNT,307511,0,0.0,61,44020,14.315,4.765114093479583,0.0085286957043411,4.496198948568977,1.0,19.16597973709069,0.0,0.0,0.0,1.0,1.0,4.0,4.0,7.0,7.0,13.0,20.0,116.0,116.0,6.0,1465325.0,0.0167162435805085,1.7084,6.3949,7098,2.308,lệch phải mạnh,0.9436,1.0,4.0,7.0,5.56119563856071,4.0,4.377896725265535,1.0,116.0,115.0,1.823791127061356,7.4380109203041505,263491.0
BUREAU_ENDDATE_FUTURE_COUNT,307511,0,0.0,28,100965,32.833,1.669439467206051,,1.8559723373217047,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,8.0,30.0,30.0,3.0,,,1.7191,4.9599,3936,1.28,lệch phải mạnh,1.1117,0.0,1.0,3.0,,,,,,,,,
BUREAU_AMT_CREDIT_SUM_SUM,307511,0,0.0,205630,45103,14.667,1675834.1430586125,,3858106.1081710095,,,0.0,0.0,0.0,153949.5,153949.5,711000.0,711000.0,1970993.25,1970993.25,6428894.175,13279442.184000015,1017957917.385,1017957917.385,1817043.75,,,78.3351,17196.5118,26131,8.498,lệch phải mạnh,2.3022,153949.5,711000.0,1970993.25,,,,,,,,,
BUREAU_AMT_CREDIT_SUM_MEAN,307511,0,0.0,209581,45103,14.667,323957.0360278919,,835940.3724658655,,,0.0,0.0,0.0,67055.31937499999,67055.31937499999,158730.75,158730.75,344459.1375,344459.1375,1116000.0,2740171.350000012,198072344.25,198072344.25,277403.818125,,,70.5032,13361.5201,27326,8.886,lệch phải mạnh,2.5804,67055.31937499999,158730.75,344459.1375,,,,,,,,,
BUREAU_AMT_CREDIT_SUM_MAX,307511,0,0.0,65160,45103,14.667,836286.6146167454,,1962377.2420180696,,,0.0,0.0,0.0,99331.6725,99331.6725,324000.0,324000.0,900000.0,900000.0,3150000.0,8100000.0,396000000.0,396000000.0,800668.3275,,,40.9415,6066.2633,28481,9.262,lệch phải mạnh,2.3465,99331.6725,324000.0,900000.0,,,,,,,,,
APP_PROPERTY_MISSING_COUNT,307511,0,0.0,19,78599,25.56,10.350094793356986,0.011093071550373,7.934029211785655,14.0,37.84114631827218,0.0,0.0,0.0,0.0,0.0,12.0,12.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,2516080.0,0.0217424202387311,-0.2402,-1.736,0,0.0,gần đối xứng,0.7666,0.0,12.0,18.0,8.182081291400959,10.0,6.151515774040751,0.0,14.0,14.0,-0.2940022314407455,-1.6968835931043726,307511.0
APP_PROPERTY_MISSING_RATIO,307511,0,0.0,19,78599,25.56,0.5750052662976103,,0.4407794006547586,,,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,-0.2402,-1.736,0,0.0,gần đối xứng,0.7666,0.0,0.6666666666666666,1.0,,,,,,,,,
APP_AGE_YEARS,307511,0,0.0,17460,0,0.0,43.906899566990106,0.0215458215301074,11.947949710569638,37.64271,142.75350225940687,20.503764544832308,22.622861054072555,25.75496235455168,33.98494182067078,33.98494182067078,43.1211498973306,43.1211498973306,53.88637919233402,53.88637919233402,63.52908966461328,66.85557837097878,69.07323750855578,48.56947296372347,19.90143737166324,13501854.593176998,0.0422298101990106,0.1157,-1.0491,0,0.0,gần đối xứng,0.2721,33.98494182067078,43.1211498973306,53.88637919233402,43.90689956839592,43.12115,11.947949709444163,20.503765,69.073235,48.56947,0.1156733118659013,-1.049125769479046,307511.0
APP_REGISTRATION_YEARS,307511,0,0.0,15688,80,0.026,13.651253463486432,0.0173931433741684,9.645137086825658,0.0027378509,93.02866943937282,-0.0,0.136892539356605,0.9034907597535934,5.503080082135524,5.503080082135524,12.331279945242985,12.331279945242985,20.477754962354556,20.477754962354556,31.255304585900067,37.99863107460644,67.5482546201232,67.5482546201232,14.974674880219029,4197910.603504597,0.0340905610133702,0.5909,-0.3213,659,0.214,lệch phải vừa,0.7065,5.503080082135524,12.331279945242985,20.477754962354556,13.651253462492717,12.33128,9.645137087640215,-0.0,67.548256,67.548256,0.5908716153176435,-0.3213466050375291,307511.0
APP_LAST_PHONE_CHANGE_YEARS,307510,1,0.0,3773,37672,12.251,2.6361636915320648,,2.2636782670517634,,,-0.0,0.0,0.0,0.7501711156741958,0.7501711156741958,2.0725530458590007,2.0725530458590007,4.298425735797399,4.298425735797399,6.90485968514716,8.621492128678987,11.75085557837098,11.75085557837098,3.548254620123203,,,0.7136,-0.3086,435,0.141,lệch phải vừa,0.8587,0.7501711156741958,2.0725530458590007,4.298425735797399,,,,,,,,,
APP_ID_PUBLISH_YEARS,307511,0,0.0,6168,16,0.005,8.197679324431038,0.0074524367699426,4.132650017804307,11.096509,17.078796173524633,0.0,0.1670088980150581,1.026694045174538,4.709103353867215,4.709103353867215,8.908966461327857,8.908966461327857,11.770020533880905,11.770020533880905,13.535934291581109,14.913073237508556,19.704312114989733,19.704312114989733,7.060917180013689,2520876.566262844,0.0146067760690875,-0.3493,-1.1068,0,0.0,gần đối xứng,0.5041,4.709103353867215,8.908966461327857,11.770020533880905,8.19767932289526,8.908966,4.1326500182721295,0.0,19.704311,19.704311,-0.3493274923025063,-1.10680789393249,307511.0
APP_CREDIT_INCOME_RATIO,307511,0,0.0,48697,0,0.0,3.957570238062716,0.0048504057017472,2.6897281854524797,2.0,7.234637698289363,0.0048076153846153,0.595365054945055,1.0,2.018666666666667,2.018666666666667,3.265066666666667,3.265066666666667,5.15988,5.15988,9.156738636363634,13.027280298009485,84.73684210526316,84.73203448987854,3.1412133333333334,1216996.381365651,0.0095067951754245,1.836,8.3718,11510,3.743,lệch phải mạnh,0.6796,2.018666666666667,3.265066666666667,5.15988,3.957570237700931,3.2650666,2.6897281829748825,0.004807615,84.73684,84.732032385,1.8359563190371773,8.371771955237662,307511.0
DAYS_LAST_PHONE_CHANGE,307510,1,0.0,3773,37672,12.251,-962.8587883320868,1.4909919693250044,826.8084870406566,0.0,683612.2742424597,-4292.0,-3149.0,-2522.0,-1570.0,-1570.0,-757.0,-757.0,-274.0,-274.0,0.0,0.0,0.0,4292.0,1296.0,-296088706.0,2.9223442598770086,-0.7136,-0.3086,435,0.141,lệch trái vừa,-0.8587,-1570.0,-757.0,-274.0,-962.8587883320868,-757.0,826.8084870406566,-4292.0,0.0,4292.0,-0.7136056678591619,-0.3085799413944889,307510.0
BUREAU_AMT_DEBT_SUM,307511,0,0.0,154999,121069,39.371,548941.58833604,,1529047.3370801236,,,-6981558.210000001,0.0,0.0,0.0,0.0,87583.5,87583.5,534856.5,534856.5,2387406.8025,6525862.200000009,334498331.20500004,341479889.415,534856.5,,,40.8495,7522.7497,33062,10.751,lệch phải mạnh,2.7854,0.0,87583.5,534856.5,,,,,,,,,
BUREAU_AMT_OVERDUE_SUM,307511,0,0.0,1218,304177,98.916,191.10711979408867,,15271.025150478996,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3756681.0,3756681.0,0.0,,,164.8328,32899.0285,3334,1.084,lệch phải mạnh,79.9082,0.0,0.0,0.0,,,,,,,,,
BUREAU_CREDIT_PROLONG_SUM,307511,0,0.0,10,299003,97.233,0.0346816861835836,,0.2292341036086618,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,,,9.0969,121.5496,8508,2.767,lệch phải mạnh,6.6097,0.0,0.0,0.0,,,,,,,,,
BUREAU_DEBT_TO_CREDIT_SUM_RATIO,307511,0,0.0,184777,121133,39.391,0.2408836154543324,0.0008810922621814,0.4287282863117662,0.0,0.2037135165311089,-175.28923076923076,0.0,0.0,0.0,0.0,0.1200456570155902,0.1200456570155902,0.4308114275876881,0.4308114275876881,0.8297189738075605,0.9850297109555652,7.7891,183.07833076923075,0.4308114275876881,74074.36146514036,0.0017269408338756,-222.7999,91373.7565,601,0.195,lệch trái mạnh,1.7798,0.0,0.1200456570155902,0.4308114275876881,0.2822869785415854,0.209140225,0.4513463376733092,-175.28923,7.7891,183.07833,-224.02707837369965,87257.73641128364,262408.0
BB_OVERDUE_MONTH_COUNT,307511,0,0.0,162,276459,89.902,0.7196945800312834,0.0276459677869425,4.727722083420482,0.0,70.49211040120963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,396.0,396.0,0.0,221314.0,0.0541860968624073,20.4629,802.8676,31052,10.098,lệch phải mạnh,6.5691,0.0,0.0,0.0,2.3995619694029124,0.0,8.395957979957357,0.0,396.0,396.0,11.574859947984178,257.63914115586545,92231.0
BB_BAD_STATUS_MONTH_COUNT,307511,0,0.0,132,305305,99.283,0.1317936594138095,,2.817279605754463,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,346.0,0.0,,,43.8341,2974.3942,2206,0.717,lệch phải mạnh,21.3764,0.0,0.0,0.0,,,,,,,,,
BB_MONTH_COUNT,307511,0,0.0,1102,215280,70.007,47.80841010565476,0.5241817047638918,113.73534690215818,12.0,25341.985336214268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,285.0,540.0,2657.0,2657.0,29.0,14701612.0,1.027396141337228,3.64,18.4618,58406,18.993,lệch phải mạnh,2.379,0.0,0.0,29.0,159.3998980819898,110.0,159.19166226977552,1.0,2657.0,2656.0,2.041846473176645,6.7109611965929865,92231.0
PREV_AMT_CREDIT_SUM,307511,0,0.0,194245,16681,5.425,902685.6650556728,,1462142.0244566707,,,0.0,0.0,0.0,130918.5,130918.5,383778.0,383778.0,1090626.75,1090626.75,3404713.5,6811384.950000031,41461128.0,41461128.0,959708.25,,,5.077,50.9756,26567,8.639,lệch phải mạnh,1.6198,130918.5,383778.0,1090626.75,,,,,,,,,
PREV_ZERO_CREDIT_COUNT,307511,0,0.0,44,193779,63.015,0.8994084764447451,,1.7621866953336611,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,59.0,59.0,1.0,,,4.2611,44.6104,37008,12.035,lệch phải mạnh,1.9593,0.0,0.0,1.0,,,,,,,,,
PREV_AMT_APPLICATION_SUM,307511,0,0.0,175559,17469,5.681,805636.3631633829,,1323039.7219801864,,,0.0,0.0,0.0,124087.5,124087.5,343098.0,343098.0,949500.0,949500.0,3058587.45,6187473.409500007,37973713.5,37973713.5,825412.5,,,5.2656,55.1195,27804,9.042,lệch phải mạnh,1.6422,124087.5,343098.0,949500.0,,,,,,,,,
CC_NEGATIVE_BALANCE_MONTH_COUNT,307511,0,0.0,9,306964,99.822,0.0063965191489084,,0.1904044092237599,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,,,35.8785,1379.5382,547,0.178,lệch phải mạnh,29.7669,0.0,0.0,0.0,,,,,,,,,
CC_AMT_BALANCE_SUM,307511,0,0.0,58810,247911,80.619,620096.8742995698,,1998104.121856956,,,-126000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4497766.875,10590400.48050002,29980484.415000003,30106484.415000003,0.0,,,4.5084,24.1333,59600,19.381,lệch phải mạnh,3.2222,0.0,0.0,0.0,,,,,,,,,
CC_COMPLETED_MONTH_COUNT,307511,0,0.0,40,296903,96.55,0.3252924285635311,,2.4582082477426157,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,45.0,45.0,0.0,,,9.5249,96.027,10608,3.45,lệch phải mạnh,7.5569,0.0,0.0,0.0,,,,,,,,,
CC_ACTIVE_MONTH_COUNT,307511,0,0.0,103,220673,71.761,10.135159392672133,,23.72139388581118,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,82.0,96.0,178.0,178.0,6.0,,,2.6417,5.8388,50885,16.547,lệch phải mạnh,2.3405,0.0,0.0,6.0,,,,,,,,,
CC_MONTH_COUNT,307511,0,0.0,129,220606,71.739,10.49707164946945,0.114311084743395,24.507862402587172,96.0,1135.589728994368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,86.0,96.0,192.0,192.0,7.0,3227965.0,0.2240497260970542,2.6178,5.6475,48621,15.811,lệch phải mạnh,2.3347,0.0,0.0,7.0,37.143605086013466,22.0,33.69851226678068,1.0,192.0,191.0,0.7733392634089002,-1.0521704517836,86905.0
CC_PREV_COUNT,307511,0,0.0,5,220606,71.739,0.2843865747891945,,0.4550913575043119,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,,,1.0145,-0.7934,4,0.001,lệch phải mạnh,1.6003,0.0,0.0,1.0,,,,,,,,,
INST_PAYMENT_COUNT,307511,0,0.0,320,15868,5.16,37.69488571140545,0.0754365170280828,40.63635711265469,12.0,1659.6435170756677,0.0,0.0,0.0,11.0,11.0,23.0,23.0,48.0,48.0,128.0,185.0,372.0,372.0,37.0,11591592.0,0.1478555733750422,1.9983,4.4716,26330,8.562,lệch phải mạnh,1.078,11.0,23.0,48.0,39.745826232757175,25.0,40.738722575403216,1.0,372.0,371.0,1.983169046459592,4.344776514664376,291643.0
INST_PREV_COUNT,307511,0,0.0,26,15868,5.16,2.775003170618287,,2.090419490196492,,,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,7.0,10.0,26.0,26.0,3.0,,,1.5365,3.8318,5980,1.945,lệch phải mạnh,0.7533,1.0,2.0,4.0,,,,,,,,,
INST_LATE_PAYMENT_COUNT,307511,0,0.0,102,152512,49.596,3.2311982335591245,0.011845804418127,6.275392884361928,0.0,40.924244694869785,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,15.0,30.0,159.0,159.0,4.0,993629.0,0.023217776659529,3.9062,25.0426,28078,9.131,lệch phải mạnh,1.9421,0.0,1.0,4.0,3.407004454075702,1.0,6.397206006911907,0.0,159.0,159.0,3.812456330751788,23.952638228436616,291643.0
POS_COMPLETED_MONTH_COUNT,307511,0,0.0,47,50295,16.356,2.064550536403576,,3.0866907558038235,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,8.0,85.0,85.0,2.0,,,11.5389,186.1438,8043,2.616,lệch phải mạnh,1.4951,1.0,1.0,3.0,,,,,,,,,
POS_DPD_DEF_MONTH_COUNT,307511,0,0.0,62,267621,87.028,0.3222974137510528,,1.5277846888511677,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,120.0,120.0,0.0,,,25.6876,1353.3063,39890,12.972,lệch phải mạnh,4.7403,0.0,0.0,0.0,,,,,,,,,
POS_FUTURE_GT_TOTAL_COUNT,307511,0,0.0,11,304014,98.863,0.0209098211120903,,0.2385796769817251,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,,,16.7935,372.2798,3497,1.137,lệch phải mạnh,11.4099,0.0,0.0,0.0,,,,,,,,,
POS_DEMAND_MONTH_COUNT,307511,0,0.0,53,307199,99.899,0.0198692079307732,,1.0191758378421096,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,134.0,0.0,,,66.6311,5176.8892,312,0.101,lệch phải mạnh,51.2942,0.0,0.0,0.0,,,,,,,,,
POS_DPD_MONTH_COUNT,307511,0,0.0,103,252828,82.218,0.8425942486610235,0.0090662962140709,4.736890871035625,0.0,23.791638905735653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,120.0,120.0,0.0,259107.0,0.0177699405795791,13.2159,213.1319,54683,17.782,lệch phải mạnh,5.6218,0.0,0.0,0.0,0.8951887066237337,0.0,4.877667363170192,0.0,120.0,120.0,12.827826327653105,200.68575613494116,289444.0
POS_ACTIVE_MONTH_COUNT,307511,0,0.0,212,18270,5.941,25.425357141695745,,22.749737847461667,,,0.0,0.0,0.0,10.0,10.0,19.0,19.0,35.0,35.0,71.0,105.0,271.0,271.0,25.0,,,1.781,4.5254,14469,4.705,lệch phải mạnh,0.8948,10.0,19.0,35.0,,,,,,,,,
PREV_DAYS_TERMINATION_365243_FLAG_COUNT,307511,0,0.0,6,157577,51.243,0.6308717411734864,,0.7437924134320187,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,5.0,1.0,,,0.9776,0.4582,4463,1.451,lệch phải vừa,1.179,0.0,0.0,1.0,,,,,,,,,
POS_PREV_COUNT,307511,0,0.0,26,18067,5.875,2.602628849049302,,2.012463874123048,,,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,9.0,26.0,26.0,2.0,,,1.6441,4.4349,15217,4.948,lệch phải mạnh,0.7732,1.0,2.0,3.0,,,,,,,,,
POS_MONTH_COUNT,307511,0,0.0,228,18067,5.875,27.782339493546573,0.0451757158261774,24.58015423221908,13.0,590.7104271311596,0.0,0.0,0.0,11.0,11.0,21.0,21.0,38.0,38.0,77.0,114.0,295.0,295.0,27.0,8543375.0,0.0885444030193077,1.7784,4.4706,14740,4.793,lệch phải mạnh,0.8847,11.0,21.0,38.0,29.51650405605229,22.0,24.30453511448346,1.0,295.0,294.0,1.833221107235652,4.642781277640427,289444.0
PREV_DAYS_FIRST_DRAWING_365243_FLAG_COUNT,307511,0,0.0,25,20243,6.583,2.598586717223124,,2.0086063613289795,,,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,6.0,9.0,25.0,25.0,3.0,,,1.5611,3.9617,4843,1.575,lệch phải mạnh,0.773,1.0,2.0,4.0,,,,,,,,,
PREV_DAYS_FIRST_DUE_365243_FLAG_COUNT,307511,0,0.0,5,274467,89.254,0.1104415776996595,,0.3230350964920393,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,,,2.7669,6.8131,33044,10.746,lệch phải mạnh,2.9249,0.0,0.0,0.0,,,,,,,,,
