feature,level,n,default_customers,default_rate,cramers_v_feature,chi_square_p_value_feature
ORGANIZATION_TYPE,Construction,6721,785,0.11679809552149978,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Industry: type 1,1039,115,0.11068334937439846,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Industry: type 3,3278,348,0.10616229408175717,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Agriculture,2454,257,0.10472697636511817,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Trade: type 3,3492,361,0.1033791523482245,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Self-employed,38412,3908,0.10173903988336978,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Industry: type 4,877,89,0.10148232611174458,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Security,3247,324,0.09978441638435478,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Trade: type 7,7831,740,0.09449623292044439,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Business Entity Type 3,67992,6323,0.09299623485115896,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Transport: type 4,5398,501,0.0928121526491293,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Industry: type 11,2704,234,0.08653846153846154,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Business Entity Type 2,10553,900,0.08528380555292334,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Postal,2157,182,0.08437644877144182,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Business Entity Type 1,5984,487,0.0813836898395722,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Industry: type 7,1307,105,0.08033664881407804,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Housing,2958,235,0.07944557133198107,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Transport: type 2,2204,172,0.0780399274047187,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Other/rare,3972,304,0.07653575025176233,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Other,16683,1275,0.0764251033986693,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Telecom,577,44,0.07625649913344887,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Emergency,560,40,0.07142857142857142,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Kindergarten,6880,484,0.07034883720930232,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Trade: type 2,1900,133,0.07,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Government,10404,726,0.06978085351787774,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Industry: type 5,599,41,0.06844741235392321,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Industry: type 9,3368,225,0.06680522565320665,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Electricity,950,63,0.06631578947368422,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Services,1575,104,0.06603174603174604,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Medicine,11193,737,0.06584472438130974,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Hotel,966,62,0.06418219461697723,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,School,8893,526,0.05914764421455077,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Insurance,597,34,0.05695142378559464,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,XNA,55374,2990,0.05399646043269404,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Bank,2507,130,0.051854806541683285,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Military,2634,135,0.05125284738041002,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Police,2341,117,0.04997864160615122,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,University,1327,65,0.048982667671439335,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Security Ministries,1974,96,0.0486322188449848,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Trade: type 6,631,29,0.04595879556259905,0.07167041518766441,6.009743526915104e-305
NAME_INCOME_TYPE,Other/rare,55,10,0.18181818181818182,0.06319274789636588,1.3615794838048685e-264
NAME_INCOME_TYPE,Working,158774,15224,0.09588471664126369,0.06319274789636588,1.3615794838048685e-264
NAME_INCOME_TYPE,Commercial associate,71617,5360,0.07484256531270508,0.06319274789636588,1.3615794838048685e-264
NAME_INCOME_TYPE,State servant,21703,1249,0.05754964751416855,0.06319274789636588,1.3615794838048685e-264
NAME_INCOME_TYPE,Pensioner,55362,2982,0.053863660994906255,0.06319274789636588,1.3615794838048685e-264
NAME_EDUCATION_TYPE,Lower secondary,3816,417,0.10927672955974843,0.05757079004597784,2.4476812052198174e-219
NAME_EDUCATION_TYPE,Secondary / secondary special,218391,19524,0.08939928843221562,0.05757079004597784,2.4476812052198174e-219
NAME_EDUCATION_TYPE,Incomplete higher,10277,872,0.08484966429891992,0.05757079004597784,2.4476812052198174e-219
NAME_EDUCATION_TYPE,Higher education,74863,4009,0.05355115344028425,0.05757079004597784,2.4476812052198174e-219
NAME_EDUCATION_TYPE,Other/rare,164,3,0.018292682926829267,0.05757079004597784,2.4476812052198174e-219
CODE_GENDER,M,105059,10655,0.1014192025433328,0.05472052858161963,1.1290217848908289e-200
CODE_GENDER,F,202448,14170,0.06999328222555916,0.05472052858161963,1.1290217848908289e-200
CODE_GENDER,Other/rare,4,0,0.0,0.05472052858161963,1.1290217848908289e-200
WALLSMATERIAL_MODE,Wooden,5362,520,0.0969787392763894,0.04413651957414233,3.9168421872326693e-125
WALLSMATERIAL_MODE,Missing,156341,14271,0.09128123780710115,0.04413651957414233,3.9168421872326693e-125
WALLSMATERIAL_MODE,Others,1625,135,0.08307692307692308,0.04413651957414233,3.9168421872326693e-125
WALLSMATERIAL_MODE,Mixed,2296,173,0.07534843205574913,0.04413651957414233,3.9168421872326693e-125
WALLSMATERIAL_MODE,"Stone, brick",64815,4800,0.07405693126591067,0.04413651957414233,3.9168421872326693e-125
WALLSMATERIAL_MODE,Block,9253,650,0.07024748730141575,0.04413651957414233,3.9168421872326693e-125
WALLSMATERIAL_MODE,Panel,66040,4192,0.06347668079951545,0.04413651957414233,3.9168421872326693e-125
WALLSMATERIAL_MODE,Monolithic,1779,84,0.047217537942664416,0.04413651957414233,3.9168421872326693e-125
EMERGENCYSTATE_MODE,Yes,2328,223,0.09579037800687286,0.042213410412772996,1.0198212313643335e-119
EMERGENCYSTATE_MODE,Missing,145755,13498,0.09260745772014682,0.042213410412772996,1.0198212313643335e-119
EMERGENCYSTATE_MODE,No,159428,11104,0.06964899515768874,0.042213410412772996,1.0198212313643335e-119
HOUSETYPE_MODE,specific housing,1499,152,0.10140093395597065,0.04070064676428868,4.3693096011918614e-110
HOUSETYPE_MODE,Missing,154297,14120,0.09151182459801552,0.04070064676428868,4.3693096011918614e-110
HOUSETYPE_MODE,terraced house,1212,103,0.08498349834983498,0.04070064676428868,4.3693096011918614e-110
HOUSETYPE_MODE,block of flats,150503,10450,0.06943383188374982,0.04070064676428868,4.3693096011918614e-110
NAME_FAMILY_STATUS,Civil marriage,29775,2961,0.09944584382871537,0.04051200882303465,7.744841561414037e-107
NAME_FAMILY_STATUS,Single / not married,45444,4457,0.0980767538068832,0.04051200882303465,7.744841561414037e-107
NAME_FAMILY_STATUS,Separated,19770,1620,0.0819423368740516,0.04051200882303465,7.744841561414037e-107
NAME_FAMILY_STATUS,Married,196432,14850,0.07559868045939562,0.04051200882303465,7.744841561414037e-107
NAME_FAMILY_STATUS,Widow,16088,937,0.058242168075584286,0.04051200882303465,7.744841561414037e-107
NAME_FAMILY_STATUS,Other/rare,2,0,0.0,0.04051200882303465,7.744841561414037e-107
NAME_HOUSING_TYPE,Rented apartment,4881,601,0.12313050604384347,0.03698125854026016,1.0990890032617707e-88
NAME_HOUSING_TYPE,With parents,14840,1736,0.1169811320754717,0.03698125854026016,1.0990890032617707e-88
NAME_HOUSING_TYPE,Municipal apartment,11183,955,0.08539747831530001,0.03698125854026016,1.0990890032617707e-88
NAME_HOUSING_TYPE,Co-op apartment,1122,89,0.07932263814616755,0.03698125854026016,1.0990890032617707e-88
NAME_HOUSING_TYPE,House / apartment,272868,21272,0.07795710746588094,0.03698125854026016,1.0990890032617707e-88
NAME_HOUSING_TYPE,Office apartment,2617,172,0.06572411157814291,0.03698125854026016,1.0990890032617707e-88
NAME_CONTRACT_TYPE,Cash loans,278232,23221,0.08345912763449208,0.03087557278432273,1.0235150721172847e-65
NAME_CONTRACT_TYPE,Revolving loans,29279,1604,0.05478329177909082,0.03087557278432273,1.0235150721172847e-65
FONDKAPREMONT_MODE,Missing,210295,18125,0.0861884495589529,0.030267441913279722,9.504317433236526e-60
FONDKAPREMONT_MODE,not specified,5687,429,0.07543520309477757,0.030267441913279722,9.504317433236526e-60
FONDKAPREMONT_MODE,reg oper account,73830,5152,0.06978193146417445,0.030267441913279722,9.504317433236526e-60
FONDKAPREMONT_MODE,reg oper spec account,12080,792,0.06556291390728476,0.030267441913279722,9.504317433236526e-60
FONDKAPREMONT_MODE,org spec account,5619,327,0.05819540843566471,0.030267441913279722,9.504317433236526e-60
FLAG_OWN_CAR,N,202924,17249,0.08500226685852831,0.021838339688809338,9.330994431109667e-34
FLAG_OWN_CAR,Y,104587,7576,0.07243730100299273,0.021838339688809338,9.330994431109667e-34
NAME_TYPE_SUITE,Other_B,1770,174,0.09830508474576272,0.012122469526432223,1.2562030207008617e-07
NAME_TYPE_SUITE,Other_A,866,76,0.08775981524249422,0.012122469526432223,1.2562030207008617e-07
NAME_TYPE_SUITE,Other/rare,271,23,0.08487084870848709,0.012122469526432223,1.2562030207008617e-07
NAME_TYPE_SUITE,Unaccompanied,248526,20337,0.08183047246565751,0.012122469526432223,1.2562030207008617e-07
NAME_TYPE_SUITE,"Spouse, partner",11370,895,0.07871591908531222,0.012122469526432223,1.2562030207008617e-07
NAME_TYPE_SUITE,Family,40149,3009,0.07494582679518792,0.012122469526432223,1.2562030207008617e-07
NAME_TYPE_SUITE,Children,3267,241,0.07376798285889195,0.012122469526432223,1.2562030207008617e-07
NAME_TYPE_SUITE,Missing,1292,70,0.05417956656346749,0.012122469526432223,1.2562030207008617e-07
WEEKDAY_APPR_PROCESS_START,TUESDAY,53901,4501,0.08350494424964286,0.0070738282050768824,0.01744736931389504
WEEKDAY_APPR_PROCESS_START,WEDNESDAY,51934,4238,0.0816035737667039,0.0070738282050768824,0.01744736931389504
WEEKDAY_APPR_PROCESS_START,FRIDAY,50338,4101,0.08146926775000993,0.0070738282050768824,0.01744736931389504
WEEKDAY_APPR_PROCESS_START,THURSDAY,50591,4098,0.08100254986064714,0.0070738282050768824,0.01744736931389504
WEEKDAY_APPR_PROCESS_START,SUNDAY,16181,1283,0.07929052592546815,0.0070738282050768824,0.01744736931389504
WEEKDAY_APPR_PROCESS_START,SATURDAY,33852,2670,0.07887274016306274,0.0070738282050768824,0.01744736931389504
WEEKDAY_APPR_PROCESS_START,MONDAY,50714,3934,0.07757226801277754,0.0070738282050768824,0.01744736931389504
FLAG_OWN_REALTY,N,94199,7842,0.08324929139375152,0.006135439692637309,0.0006681470317545887
FLAG_OWN_REALTY,Y,213312,16983,0.07961577407740775,0.006135439692637309,0.0006681470317545887
